step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,4,15,False,1,3,1,3,1.0,0.9999992436090465
0,2,0.6499999980365656,5,15,False,1,4,1,4,1.0,0.9999999969793316
0,3,0.6499953085483633,5,15,False,1,4,1,4,1.0,0.9999927823820973
0,4,0.6492177752796016,2,15,False,1,1,1,1,1.0,0.9987965773532331
0,5,0.649965154468399,3,15,False,1,2,1,2,1.0,0.9999463914898445
0,6,0.6499999549091292,4,15,False,1,3,1,3,1.0,0.9999999306294296
0,7,0.6499999384088037,7,15,False,1,6,1,6,1.0,0.9999999052443134
0,8,0.6499967419578232,3,15,False,1,2,1,2,1.0,0.9999949876274203
0,9,0.649999999358718,2,15,False,1,1,1,1,1.0,0.9999999990134123
0,10,0.6499571538949749,3,15,False,1,2,1,2,1.0,0.999934082915346
0,11,0.649999999358718,3,15,False,1,2,1,2,1.0,0.9999999990134123
0,12,0.6499999932300805,2,15,False,1,1,1,1,1.0,0.9999999895847392
0,13,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
0,14,0.6499999657384492,3,15,False,1,2,1,2,1.0,0.9999999472899218
0,15,0.6499832845772789,3,15,False,1,2,1,2,1.0,0.9999742839650445
0,16,0.6499999446689855,5,15,False,1,4,1,4,1.0,0.9999999148753622
0,17,0.64999827338714,4,15,False,1,3,1,3,1.0,0.9999973436725231
0,18,0.6499999595742559,7,15,False,1,6,1,6,1.0,0.9999999378065476
0,19,0.6499264399355285,7,15,False,1,6,1,6,1.0,0.9998868306700437
10,0,0.2105194168255783,15,15,False,11,4,1,2,0.6145262313418444,0.4361768898082298
10,1,0.27726351164280805,13,15,False,11,3,1,3,0.6195552582082816,0.4366426167704759
10,2,0.6931636741338767,21,15,False,11,7,4,4,0.6154292645006177,0.49170214679971996
10,3,0.28674169313567427,20,15,False,11,9,1,4,0.6270541366802148,0.4013259312435846
10,4,0.015676755847566132,13,15,False,11,1,1,1,0.6199629122255225,0.4422763403716939
10,5,0.3235140495066257,19,15,False,11,6,1,2,0.6380317003306682,0.45024647778194127
10,6,0.589098433489368,18,15,False,11,7,2,3,0.5581932063886678,0.47453500328371506
10,7,0.5556043720412568,24,15,False,11,7,3,6,0.6828772279196857,0.35532582977811683
10,8,0.2140781408535089,15,15,False,11,4,2,2,0.6994803800295153,0.5282240619813066
10,9,0.6279488447518212,16,15,False,11,5,3,1,0.6084748833318626,0.6433061856910157
10,10,0.17867033246019776,15,15,False,11,2,1,2,0.5835690861265473,0.39309873177777105
10,11,0.6938760571977073,15,15,False,11,5,2,2,0.6087690418857021,0.6183041760571845
10,12,0.4795218531358275,13,15,False,11,2,2,1,0.627405131164765,0.6421972423472044
10,13,0.6473391422577571,21,15,False,11,7,2,4,0.5892493811250247,0.4590140031585443
10,14,0.5928548853104261,15,15,False,11,4,1,2,0.532421698003171,0.44644027273457476
10,15,0.12747895979491156,13,15,False,11,3,1,2,0.6332421529700507,0.42723252464390493
10,16,0.5013205965223377,20,15,False,11,6,2,4,0.6102429580133611,0.3909321756060952
10,17,0.29140429777658716,18,15,False,11,6,1,3,0.5333349138267172,0.3816108580481558
10,18,0.656002677050254,27,15,False,11,12,4,6,0.6560720355388433,0.45089345390954816
10,19,0.3396249665569051,28,15,False,11,8,1,6,0.6542090836741518,0.26907266138204006
20,0,0.4481127810187533,34,15,False,21,13,3,3,0.48297738366265636,0.4247546196749697
20,1,0.43568779383080347,27,15,False,21,8,2,5,0.43491587546735344,0.4047880366132069
20,2,0.722651190273545,38,15,False,21,14,10,7,0.42778633557744555,0.5665977592030695
20,3,0.4909969240380383,46,15,False,21,25,4,5,0.4921389225843654,0.41408530447600567
20,4,0.0682442107375224,41,15,False,21,10,1,3,0.4708339997299119,0.27880825874175647
20,5,0.309210717975964,39,15,False,21,16,2,5,0.4601664790668453,0.3251810186845083
20,6,0.7018627958665775,39,15,False,21,18,3,5,0.4309514650688161,0.4782406863300038
20,7,0.5199560787211727,47,15,False,21,21,4,11,0.4715250270647355,0.36301738181431126
20,8,0.6162106074409246,33,15,False,21,12,4,3,0.5511085333847339,0.45790747224305306
